Country Name,Country Code,Series Name,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Angola,AGO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,21.4,..,..,..,..,..,..,..,14.6,..,..,..,..,..,..,..,..,..,31.1,..,..,..,..,..
Angola,AGO,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,39.4,..,..,..,..,..,..,..,37.5,..,..,..,..,..,..,..,..,..,52.9,..,..,..,..,..
Angola,AGO,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,67.2,..,..,..,..,..,..,..,68.9,..,..,..,..,..,..,..,..,..,78,..,..,..,..,..
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,15248.2378975637,15927.908388285,14972.0975277549,14933.8695653725,15662.8336503037,16384.3344482436,17242.3482864659,19187.0307909482,20687.6871294913,20377.9377692928,17667.848771473,16062.015811277,15559.6619731223,15911.0962823771,15668.4355109479,15882.3092572073,15985.5411386971,16526.4361374728,16830.3962602848,17901.0409130559,18357.6788222183,14803.7695057464,15921.095120946,17335.047039518,17902.3799187494
Antigua and Barbuda,ATG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10880.2062074837,10672.7220353121,10090.6534434286,8895.31964210751,9581.96979219468,10341.6434058805,11141.3106718375,11913.9585322637,12857.0925770961,13246.6348917152,12336.8619385237,13551.3391940229,14200.2698890608,13895.6337072986,14071.5086831557,13567.9484159809,13789.060424772,13360.2118345982,13595.0373551081,13105.397163317,12716.2242038544,11346.6521128461,12444.3182669731,12940.7384352157,12625.4695509096
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,4.2,5,8.2,12.4,5.4,3.9,2.7,2.2,1.8,1.6,1.6,0.7,0.7,0.6,0.7,0.6,..,0.7,0.6,1,1.1,1.2,0.9,0.6,..
Argentina,ARG,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,8.9,10.7,15.4,24,12.7,9.8,8,6,5,4.8,4.1,3.1,2.1,2.3,2.1,2.1,..,2.3,2.4,2.9,3.4,4,2.8,2.5,..
Argentina,ARG,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,24.2,26.3,31.1,44.4,29.7,24.9,21,16.9,15.6,14.2,12.9,11.4,9.1,8.6,8.6,9.5,..,9.2,8.2,10.4,12,15.4,11.4,10.9,..
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1166.18796165036,1249.61212926568,1385.04479407791,1582.05762167092,1815.78822447999,2018.4601408702,2312.98286133538,2636.256648197,3019.46556064022,3250.49861101145,2810.1928405123,2889.56622817115,3043.26278613609,3278.67044811176,3402.08385452333,3538.52939227858,3666.14182210905,3689.83008213399,3985.91669835177,4215.89939440524,4561.96779894751,4256.13122785453,4526.59748878641,5116.2057562944,5566.31849291352
Armenia,ARM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,11.9,..,14,10,7.5,5.3,2.6,2,1.5,0.9,1.2,1,1.2,0.8,1.7,1.4,1.1,1.1,0.8,1.3,1,0.4,0.5,0.8,..
Armenia,ARM,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,44.8,..,47.2,43.7,39.7,28.9,19.4,15.5,13.7,9.2,13.8,14,13.1,11.2,11.3,11.4,9.4,9.5,8.1,9.4,9.8,6.7,8.7,10,..
Armenia,ARM,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,82.3,..,83.8,82.9,82.6,73.5,67.5,62.8,56,52.1,60.7,62.1,59.3,55.2,53.1,51.1,46.7,42.4,48.7,48.9,52.1,53.2,51.7,51.3,..
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29262.6158770092,30703.6611910797,31426.8787422126,30760.2075543168,30793.1349648149,32742.76074691,32291.7695371212,32272.2511892054,32863.3627835216,33053.7675856288,28836.0174766105,27732.2139052929,28398.5575774698,27876.2063962026,29447.5799994559,28780.6308574466,28419.2645344661,28737.8964851926,30598.6490228535,31172.8025129725,30317.6073875484,23015.7420450767,29390.3809530373,32492.1788775214,..
Aruba,ABW,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,44636.024252846,45858.5800928021,46190.3812078014,47485.3410904497,48393.1367217128,49901.0152957826,50852.1612015639,51552.8938296061,52530.7018930125,53335.0057039403,53235.9235822531,53581.1585830189,54114.7261907858,55261.9183780127,55734.5743411489,56341.1341492724,56758.8692027821,57432.1802853452,57804.0509065758,58600.7903562771,59000.7354442453,58082.4265799182,59225.5245403582,60972.8703431498,61340.7104848018
Australia,AUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,0.7,..,1,0.7,..,..,..,0.4,..,0.3,..,..,..,0.5,..,0.5,..,0.5,..,..,..,..,..
Australia,AUS,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,1,..,1.2,0.7,..,..,..,0.7,..,0.7,..,..,..,0.7,..,0.5,..,0.7,..,..,..,..,..
Australia,AUS,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,1.5,..,1.7,1.2,..,..,..,0.7,..,1,..,..,..,1,..,1,..,1,..,..,..,..,..
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37664.9432792116,38842.8905195831,39184.8085972636,39636.4826114521,39815.2219533064,40651.2266155811,41281.2707559522,42496.3510516831,43937.7128905744,44440.055889928,42655.1921304813,43334.5089644691,44451.0001918473,44549.881698231,44299.3781845446,44245.1687398338,44195.8175947748,44590.2516278164,45281.723399938,46154.6250956541,46616.3591743242,43343.9718951136,44984.4197366909,46697.8565193913,45851.7248755344
Austria,AUT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.2,0,..,..,0.3,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.4,0.6,0.3,0.2,0.7,0.7,0.3,0.6,0.6,0.7,0.5,..,..
Austria,AUT,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,0.2,0.2,..,..,0.4,0.1,0.2,0.2,0.6,0.6,0.7,0.6,0.6,0.7,0.4,0.3,0.7,0.9,0.4,0.7,0.7,0.9,0.5,..,..
Austria,AUT,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,0.5,0.6,..,..,0.7,0.4,0.5,0.5,0.8,1,1,0.8,1,1.1,0.7,0.7,1,1.3,0.7,1.2,0.8,1,1.1,..,..
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1343.85593869878,1480.80869072436,1614.84885813475,1754.13524132991,1918.61103696953,2077.88527047339,2631.85145279408,3501.16482500603,4327.11360468848,4693.07707968116,5023.9672905028,5215.20415429496,5152.83850244744,5194.92091665083,5426.09594155961,5506.18169600319,5500.50364628486,5270.738165712,5229.7098898586,5262.36870473368,5348.45318851823,5083.56025445721,5345.43986445831,5595.25578671563,5674.48347713732
Azerbaijan,AZE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,6.2,0.1,0.1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,28.3,2.6,3.3,1,0.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,71,48.5,44.6,42.3,31.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31497.75429631,32325.792211501,32710.503480163,33155.1520338221,32301.7272153067,32149.9340647491,32791.1312740782,33153.0893732904,33162.1615766035,31933.654828226,30162.8049495364,30199.018786998,30008.1161367305,30575.1613209681,29423.3036228047,29698.7583170363,29722.4068429349,29192.7464530018,29781.065814052,30344.799600125,29736.7942241419,23256.116064165,26743.8740303048,29477.2358532721,30061.65465132
"Bahamas, The",BHS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21169.2320806792,21686.2180612866,21653.7492127172,21838.53734983,22320.785401588,22297.6128596465,21999.6165028439,21756.44307693,21986.0606893547,21890.4278115558,21131.1726696794,21425.9294387865,21879.1833415252,22456.564355393,22983.753735606,23078.8821452468,22850.6653959938,22847.346035373,22950.2121414159,22994.1520744625,23384.7592873445,22550.9526363305,23359.6882052648,24353.0732609115,24734.3420692952
Bahrain,BHR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,625.581952940985,646.263072570149,666.300049997793,679.104267562964,698.975772118855,723.480067999051,759.154640105719,800.060402798478,847.577442326419,890.606662702575,927.34138936237,967.898522807535,1017.98263393552,1070.9685396209,1121.07617942151,1174.30240138137,1236.4354555046,1308.18840641163,1377.08356162655,1460.81351644884,1558.50779749774,1593.90308825469,1685.02093460066,1785.36131679937,1869.16393296539
Bangladesh,BGD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,33.3,..,..,..,..,24,..,..,..,..,18.2,..,..,..,..,..,13.5,..,..,..,..,..,5,..
Bangladesh,BGD,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,71.9,..,..,..,..,65.1,..,..,..,..,59.3,..,..,..,..,..,51.6,..,..,..,..,..,30,..
Bangladesh,BGD,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,93,..,..,..,..,90.9,..,..,..,..,89.4,..,..,..,..,..,86.9,..,..,..,..,..,74.1,..
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16012.1197119994,16693.4345271238,16254.3373423781,16316.046096518,16605.9346629873,16777.2485758421,17377.9565573781,18368.2751182448,18679.7971930775,18716.0072324521,17701.9155868721,17251.3698330567,17069.9640475543,16983.6081135172,16720.0824564102,16672.519171747,17040.4176091311,17439.9080463518,17495.900406199,17334.2131377485,17369.5099699378,15163.667205885,14957.2347192467,16947.3822144798,17690.196482172
Barbados,BRB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2461.84020141509,2616.92718207462,2754.67940755159,2912.1391533393,3139.138008459,3522.50895051924,3880.03540993424,4294.25195442984,4685.00569510858,5180.74043814711,5203.88310280701,5621.96765833161,5938.25288220092,6047.90392508586,6110.9378011916,6212.93577948099,5967.06856034227,5811.25053972855,5964.91436287762,6165.95788671048,6267.76513932041,6252.00881913912,6457.75126990834,6206.6488548556,6482.82033273897
Belarus,BLR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,19.2,13.6,6.6,4.4,3.5,1.3,0.9,0.4,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Belarus,BLR,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,51.1,43.3,28.1,22.3,18.8,10.6,6,3.5,2.7,1.7,1.8,0.9,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,..,..,..
Belarus,BLR,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,88,84.4,73.7,67.7,64.8,54.3,36,27.9,20.7,16.4,15.6,11.8,10,5.9,3.4,3.2,4.1,4.6,3.3,1.9,2.4,1.3,..,..,..
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34479.9064484695,35674.7912530713,35943.2379602838,36393.2417665704,36617.3803840227,37761.2813189981,38426.0519083731,39147.7635597291,40290.2277563956,40151.8498740394,39025.2207908291,39777.9252767366,39929.0951439359,39975.5736402458,39970.3174974794,40421.4207919096,41008.296719472,41318.0196388476,41825.7628316432,42382.3182763247,43098.4750626966,40636.8066159524,43273.6357003252,44198.1960002523,44283.2077143463
Belgium,BEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,0.3,..,..,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,..,..
Belgium,BEL,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,0.7,..,..,0.5,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,..,..
Belgium,BEL,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,1,..,..,0.9,0.4,0.5,0.4,0.4,0.3,0.3,0.5,0.6,0.5,0.5,0.3,0.2,0.3,0.4,0.2,0.2,0.3,0.2,..,..
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5206.65184289169,5657.45668410412,5755.75700733671,5879.60420677488,6252.22071808097,6355.39959263598,6305.35056027776,6399.14591076674,6422.30432705668,6147.69092738349,5954.4055819312,5879.73330072552,5729.99205705659,5807.26305278482,5930.7323907739,6034.40219556644,6098.60007958976,5974.37916958583,5750.50356874356,5699.06280152249,5833.17356188628,4957.94386791141,5768.90838784117,6191.66283746796,6385.37358431913
Belize,BLZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,19.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,39.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,66.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,865.452562442073,888.7301846043,908.34770296719,922.417638712749,925.849261110125,938.038178082492,924.269524057926,931.769140852323,959.554993438235,977.303163152452,970.96596890556,962.816109497413,962.744589671191,980.074613183631,1020.52823402077,1054.10876657886,1041.65252312918,1045.15093654506,1072.36203196965,1111.22724744153,1153.72620994687,1164.70896655031,1214.07758986371,1255.60729255385,1300.32000156344
Benin,BEN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,53.1,..,..,..,..,..,..,..,54.3,..,..,..,50.7,..,..,20.1,..,..,12.7,..,..
Benin,BEN,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,80.8,..,..,..,..,..,..,..,77.6,..,..,..,78.1,..,..,53.2,..,..,43.4,..,..
Benin,BEN,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,95.1,..,..,..,..,..,..,..,92,..,..,..,91.8,..,..,83.6,..,..,81.4,..,..
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,100602.927482617,109001.586029756,115619.474683728,113172.120633639,116268.816861242,118193.148720988,119396.449407765,125294.959387025,128757.880688002,125610.033442692,117886.737990193,115839.79601113,112471.34754245,106119.795030798,105492.480708055,101374.469787793,102005.62564189,102407.394383438,107237.031768386,106697.737486296,107036.239271085,99739.9798806056,105357.701237429,112431.384133779,..
Bermuda,BMU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1261.73633622178,1268.05376209986,1324.82230414947,1425.80580414108,1499.10057893683,1539.15098233137,1612.81173557504,1678.64020798494,1925.09446652876,1988.59198113103,2116.69740524132,2342.93755177711,2509.77972510178,2609.08482130198,2624.17568021008,2746.08685416106,2899.22829354394,3115.58791206085,3197.74374711881,3283.77566749485,3448.4941900809,3075.88556526741,3191.30882868504,3336.37629915679,..
Bhutan,BTN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,13.4,..,..,..,5.9,..,..,..,..,1.7,..,..,..,..,0.9,..,..,..,..,0,..
Bhutan,BTN,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,41.6,..,..,..,26.6,..,..,..,..,11.9,..,..,..,..,9.4,..,..,..,..,0.5,..
Bhutan,BTN,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,73.3,..,..,..,62.3,..,..,..,..,44.9,..,..,..,..,39.5,..,..,..,..,8.4,..
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2003.86130834366,2017.39460861999,2015.37747944243,2029.61794375322,2048.55981761044,2097.25835323189,2152.36196979617,2216.54470883828,2277.50382618283,2376.0780894158,2414.12994536401,2471.47363280645,2556.83026947588,2643.6908163643,2777.72053240937,2882.80689613638,2975.64881143063,3054.89254761291,3135.031645714,3219.20089192093,3242.94884532224,2920.19744733394,3061.89929518248,3134.76632143947,3168.73190125574
